[GIN] 2026/05/15 - 12:04:17 | 200 |   9.79ms |             ::1 | GET      "/api/admin/users"
[GIN] 2026/05/15 - 12:04:20 | 204 |       0s |             ::1 | OPTIONS  "/api/responden"
[GIN] 2026/05/15 - 12:04:20 | 204 |       0s |             ::1 | OPTIONS  "/api/admin/treatment-replies"
[GIN] 2026/05/15 - 12:04:20 | 204 |       0s |             ::1 | OPTIONS  "/api/responden"
[GIN] 2026/05/15 - 12:04:20 | 204 |       0s |             ::1 | OPTIONS  "/api/admin/treatment-replies"
[GIN] 2026/05/15 - 12:04:20 | 200 |      2ms |             ::1 | GET      "/api/responden"
[GIN] 2026/05/15 - 12:04:20 | 200 |   2.89ms |             ::1 | GET      "/api/admin/treatment-replies"
[GIN] 2026/05/15 - 12:04:20 | 200 |   7.53ms |             ::1 | GET      "/api/responden"
[GIN] 2026/05/15 - 12:04:20 | 200 |    2.9ms |             ::1 | GET      "/api/admin/treatment-replies"
[GIN] 2026/05/15 - 12:04:22 | 200 |   1.21ms |             ::1 | GET      "/api/responden"
[GIN] 2026/05/15 - 12:04:22 | 200 |   2.99ms |             ::1 | GET      "/api/responden"
[GIN] 2026/05/15 - 12:04:23 | 204 |       0s |             ::1 | OPTIONS  "/api/admin/analytics"
[GIN] 2026/05/15 - 12:04:23 | 204 |       0s |             ::1 | OPTIONS  "/api/admin/analytics"
[GIN] 2026/05/15 - 12:04:23 | 200 |   2.75ms |             ::1 | GET      "/api/responden"
[GIN] 2026/05/15 - 12:04:23 | 200 |   6.18ms |             ::1 | GET      "/api/responden"
[GIN] 2026/05/15 - 12:04:23 | 200 |  16.04ms |             ::1 | GET      "/api/admin/analytics"
[GIN] 2026/05/15 - 12:04:23 | 200 |  16.56ms |             ::1 | GET      "/api/admin/analytics"
[GIN] 2026/05/15 - 12:04:34 | 204 |       0s |             ::1 | OPTIONS  "/api/admin/analytics"
[GIN] 2026/05/15 - 12:04:34 | 204 |       0s |             ::1 | OPTIONS  "/api/responden"
[GIN] 2026/05/15 - 12:04:34 | 204 |       0s |             ::1 | OPTIONS  "/api/admin/analytics"
[GIN] 2026/05/15 - 12:04:34 | 204 |       0s |             ::1 | OPTIONS  "/api/responden"
[GIN] 2026/05/15 - 12:04:34 | 200 |   6.48ms |             ::1 | GET      "/api/responden"
[GIN] 2026/05/15 - 12:04:34 | 200 |   9.72ms |             ::1 | GET      "/api/responden"
[GIN] 2026/05/15 - 12:04:34 | 200 |  67.22ms |             ::1 | GET      "/api/admin/analytics"
[GIN] 2026/05/15 - 12:04:34 | 200 |  78.99ms |             ::1 | GET      "/api/admin/analytics"
[GIN] 2026/05/15 - 12:04:52 | 204 |       0s |             ::1 | OPTIONS  "/api/responden"
[GIN] 2026/05/15 - 12:04:52 | 204 |       0s |             ::1 | OPTIONS  "/api/admin/analytics"
[GIN] 2026/05/15 - 12:04:52 | 204 |       0s |             ::1 | OPTIONS  "/api/responden"
[GIN] 2026/05/15 - 12:04:52 | 204 |       0s |             ::1 | OPTIONS  "/api/admin/analytics"
[GIN] 2026/05/15 - 12:04:52 | 200 |  12.21ms |             ::1 | GET      "/api/responden"
[GIN] 2026/05/15 - 12:04:52 | 200 |   7.22ms |             ::1 | GET      "/api/responden"
[GIN] 2026/05/15 - 12:04:52 | 200 |   40.1ms |             ::1 | GET      "/api/admin/analytics"
[GIN] 2026/05/15 - 12:04:52 | 200 |  38.07ms |             ::1 | GET      "/api/admin/analytics"
[GIN] 2026/05/15 - 12:05:23 | 204 |       0s |             ::1 | OPTIONS  "/api/admin/analytics"
[GIN] 2026/05/15 - 12:05:23 | 204 |       0s |             ::1 | OPTIONS  "/api/responden"
[GIN] 2026/05/15 - 12:05:23 | 204 |       0s |             ::1 | OPTIONS  "/api/admin/analytics"
[GIN] 2026/05/15 - 12:05:23 | 204 |       0s |             ::1 | OPTIONS  "/api/responden"
[GIN] 2026/05/15 - 12:05:23 | 200 |      6ms |             ::1 | GET      "/api/responden"
[GIN] 2026/05/15 - 12:05:23 | 200 |   6.11ms |             ::1 | GET      "/api/responden"
[GIN] 2026/05/15 - 12:05:23 | 200 |  23.66ms |             ::1 | GET      "/api/admin/analytics"
[GIN] 2026/05/15 - 12:05:23 | 200 |  25.46ms |             ::1 | GET      "/api/admin/analytics"
[GIN] 2026/05/15 - 12:05:37 | 200 |  61.46ms |             ::1 | POST     "/api/login"
[GIN] 2026/05/15 - 12:05:37 | 200 |   2.28ms |             ::1 | GET      "/api/admin/users"
[GIN] 2026/05/15 - 12:05:46 | 200 |  72.41ms |             ::1 | POST     "/api/register"
[GIN] 2026/05/15 - 12:05:46 | 200 |  67.72ms |             ::1 | POST     "/api/login"
[GIN] 2026/05/15 - 12:05:58 | 200 |  75.95ms |             ::1 | POST     "/api/login"
[GIN] 2026/05/15 - 12:05:59 | 204 |       0s |             ::1 | OPTIONS  "/api/user/profile"
[GIN] 2026/05/15 - 12:05:59 | 204 |       0s |             ::1 | OPTIONS  "/api/notifications/unread"
[GIN] 2026/05/15 - 12:05:59 | 204 |       0s |             ::1 | OPTIONS  "/api/notifications/unread"
[GIN] 2026/05/15 - 12:05:59 | 204 |       0s |             ::1 | OPTIONS  "/api/notifications/unread"
[GIN] 2026/05/15 - 12:05:59 | 204 |       0s |             ::1 | OPTIONS  "/api/user/history"
[GIN] 2026/05/15 - 12:05:59 | 204 |       0s |             ::1 | OPTIONS  "/api/gosip"
[GIN] 2026/05/15 - 12:05:59 | 204 |       0s |             ::1 | OPTIONS  "/api/user/profile"
[GIN] 2026/05/15 - 12:05:59 | 204 |       0s |             ::1 | OPTIONS  "/api/user/history"
[GIN] 2026/05/15 - 12:05:59 | 204 |       0s |             ::1 | OPTIONS  "/api/gosip"
[GIN] 2026/05/15 - 12:05:59 | 204 |       0s |             ::1 | OPTIONS  "/api/notifications/unread"
[GIN] 2026/05/15 - 12:05:59 | 200 |    1.5ms |             ::1 | GET      "/api/user/profile"
[GIN] 2026/05/15 - 12:05:59 | 200 |   2.49ms |             ::1 | GET      "/api/user/history"
[GIN] 2026/05/15 - 12:06:00 | 200 |  14.55ms |             ::1 | GET      "/api/gosip"
[GIN] 2026/05/15 - 12:06:00 | 200 |    1.5ms |             ::1 | GET      "/api/user/profile"
[GIN] 2026/05/15 - 12:06:00 | 200 |   44.2ms |             ::1 | GET      "/api/gosip"
[GIN] 2026/05/15 - 12:06:00 | 204 |       0s |             ::1 | OPTIONS  "/api/user/notifications"
[GIN] 2026/05/15 - 12:06:00 | 200 |   2.98ms |             ::1 | GET      "/api/user/history"
[GIN] 2026/05/15 - 12:06:00 | 200 |   6.48ms |             ::1 | GET      "/api/user/notifications"
[GIN] 2026/05/15 - 12:06:00 | 200 |  82.08ms |             ::1 | GET      "/api/notifications/unread"
[GIN] 2026/05/15 - 12:06:00 | 200 |  11.62ms |             ::1 | GET      "/api/notifications/unread"
[GIN] 2026/05/15 - 12:06:00 | 200 |   3.65ms |             ::1 | GET      "/api/user/notifications"
[GIN] 2026/05/15 - 12:06:00 | 200 |  12.17ms |             ::1 | GET      "/api/notifications/unread"
[GIN] 2026/05/15 - 12:06:00 | 200 |    5.7ms |             ::1 | GET      "/api/notifications/unread"
[GIN] 2026/05/15 - 12:06:00 | 200 |   3.71ms |             ::1 | GET      "/api/notifications/unread"
[GIN] 2026/05/15 - 12:06:00 | 200 |   1.53ms |             ::1 | GET      "/api/notifications/unread"
[GIN] 2026/05/15 - 12:06:01 | 204 |       0s |             ::1 | OPTIONS  "/api/notifications/unread"
[GIN] 2026/05/15 - 12:06:01 | 204 |       0s |             ::1 | OPTIONS  "/api/user/history"
[GIN] 2026/05/15 - 12:06:01 | 204 |       0s |             ::1 | OPTIONS  "/api/gosip"
[GIN] 2026/05/15 - 12:06:01 | 204 |       0s |             ::1 | OPTIONS  "/api/user/profile"
[GIN] 2026/05/15 - 12:06:01 | 204 |       0s |             ::1 | OPTIONS  "/api/notifications/unread"
[GIN] 2026/05/15 - 12:06:01 | 204 |       0s |             ::1 | OPTIONS  "/api/notifications/unread"
[GIN] 2026/05/15 - 12:06:02 | 204 |       0s |             ::1 | OPTIONS  "/api/user/profile"
